ok;unknown error code;0x0000
permission_template_group_is_used;template group is currently used;0x0a0b
permissions;permission error;0x0a0c
accounting_virtualserver_limit_reached;virtualserver limit reached;0x0b00
accounting_slot_limit_reached;max slot limit reached;0x0b01
accounting_license_file_not_found;license file not found;0x0b02
accounting_license_date_not_ok;license date not ok;0x0b03
accounting_unable_to_connect_to_server;unable to connect to accounting server;0x0b04
accounting_unknown_error;unknown accounting error;0x0b05
accounting_server_error;accounting server error;0x0b06
accounting_instance_limit_reached;instance limit reached;0x0b07
accounting_instance_check_error;instance check error;0x0b08
accounting_license_file_invalid;license file invalid;0x0b09
accounting_running_elsewhere;virtualserver is running elsewhere;0x0b0a
accounting_instance_duplicated;virtualserver running in same instance already;0x0b0b
accounting_already_started;virtualserver already started;0x0b0c
accounting_not_started;virtualserver not started;0x0b0d
accounting_to_many_starts;;0x0b0e
message_invalid_id;invalid message id;0x0c00
ban_invalid_id;invalid ban id;0x0d00
connect_failed_banned;connection failed, you are banned;0x0d01
rename_failed_banned;rename failed, new name is banned;0x0d02
ban_flooding;flood ban;0x0d03
tts_unable_to_initialize;unable to initialize tts;0x0e00
privilege_key_invalid;invalid privilege key;0x0f00
voip_pjsua;;0x1000
voip_already_initialized;;0x1001
voip_too_many_accounts;;0x1002
voip_invalid_account;;0x1003
voip_internal_error;;0x1004
voip_invalid_connectionId;;0x1005
voip_cannot_answer_initiated_call;;0x1006
voip_not_initialized;;0x1007
provisioning_invalid_password;invalid password;0x1100
provisioning_invalid_request;invalid request;0x1101
provisioning_no_slots_available;no(more) slots available;0x1102
provisioning_pool_missing;pool missing;0x1103
provisioning_pool_unknown;pool unknown;0x1104
provisioning_unknown_ip_location;unknown ip location(perhaps LAN ip?);0x1105
provisioning_internal_tries_exceeded;internal error(tried exceeded);0x1106
provisioning_too_many_slots_requested;too many slots requested;0x1107
provisioning_too_many_reserved;too many reserved;0x1108
provisioning_could_not_connect;could not connect to provisioning server;0x1109
provisioning_auth_server_not_connected;authentication server not connected;0x1110
provisioning_auth_data_too_large;authentication data too large;0x1111
provisioning_already_initialized;already initialized;0x1112
provisioning_not_initialized;not initialized;0x1113
provisioning_connecting;already connecting;0x1114
provisioning_already_connected;already connected;0x1115
provisioning_not_connected;;0x1116
provisioning_io_error;io_error;0x1117
provisioning_invalid_timeout;;0x1118
provisioning_ts3server_not_found;;0x1119
provisioning_no_permission;unknown permissionID;0x111A
